Time(S),Temperature,Frequency (Hz),Magnitude
2,23.54,0.011111,0.16
4,23.54,0.022222,0.15
6,23.54,0.033333,0.13
8,23.54,0.044444,0.11
10,23.54,0.055556,0.09
12,23.54,0.066667,0.07
14,23.54,0.077778,0.05
16,23.54,0.088889,0.04
18,23.54,0.1,0.05
20,23.54,0.111111,0.06
22,23.54,0.122222,0.06
24,23.54,0.133333,0.07
26,23.54,0.144444,0.06
28,23.54,0.155556,0.06
30,23.54,0.166667,0.05
32,23.54,0.177778,0.03
34,23.54,0.188889,0.02
36,23.54,0.2,0.01
38,23.54,0.211111,0.01
40,23.54,0.222222,0.02
42,23.54,0.233333,0.02
44,23.54,0.244444,0.02
46,23.54,0.255556,0.02
48,23.54,0.266667,0.02
50,23.54,0.277778,0.02
52,23.54,0.288889,0.03
54,23.54,0.3,0.04
56,23.54,0.311111,0.04
58,23.54,0.322222,0.04
60,23.54,0.333333,0.05
62,23.54,0.344444,0.04
64,23.54,0.355556,0.04
66,23.54,0.366667,0.04
68,23.54,0.377778,0.03
70,23.54,0.388889,0.03
72,23.54,0.4,0.04
74,23.54,0.411111,0.04
76,23.54,0.422222,0.05
78,23.54,0.433333,0.05
80,23.54,0.444444,0.05
82,23.54,0.455556,0.05
84,23.54,0.466667,0.04
86,23.54,0.477778,0.03
88,23.54,0.488889,0.03
90,23.54,0.5,0.02
92,23.54,0.511111,0.03
94,23.54,0.522222,0.04
96,23.54,0.533333,0.04
98,23.54,0.544444,0.05
100,23.54,0.555556,0.05
102,23.54,0.566667,0.05
104,23.54,0.577778,0.05
106,23.54,0.588889,0.04
108,23.54,0.6,0.04
110,23.54,0.611111,0.03
112,23.54,0.622222,0.03
114,23.54,0.633333,0.04
116,23.54,0.644444,0.04
118,23.54,0.655556,0.04
120,23.54,0.666667,0.04
122,23.54,0.677778,0.05
124,23.54,0.688889,0.04
126,23.54,0.7,0.04
128,23.54,0.711111,0.03
130,23.54,0.722222,0.03
132,23.54,0.733333,0.02
134,23.54,0.744444,0.02
136,23.54,0.755556,0.02
138,23.54,0.766667,0.02
140,23.54,0.777778,0.02
142,23.54,0.788889,0.01
144,23.54,0.8,0.01
146,23.54,0.811111,0.02
148,23.54,0.822222,0.03
150,23.54,0.833333,0.05
152,23.54,0.844444,0.06
154,23.54,0.855556,0.06
156,23.54,0.866667,0.06
158,23.52,0.877778,0.06
160,23.54,0.888889,0.06
162,23.52,0.9,0.05
164,23.54,0.911111,0.05
166,23.54,0.922222,0.05
168,23.52,0.933333,0.07
170,23.52,0.944444,0.09
172,23.52,0.955556,0.11
174,23.52,0.966667,0.13
176,23.52,0.977778,0.15
178,23.54,0.988889,0.16
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
